Production,Year,Venue/type,Music,Lyrics,Book,Notes
The First Queen,2010,Seoul,,,,
Five Guys Named Moe,1990,West End,Louis Jordan,Jordan,Clarke Peters,
The Five O'Clock Girl,1928,Broadway,Harry Ruby,Bert Kalmar,Guy Bolton and Fred Thompson,
The Fix,1997,West End,Dana P. Rowe,John Dempsey,John Dempsey,
Flahooley,1951,Broadway,Sammy Fain,E.Y. Harburg,Harburg and Fred Saidy,
Flashdance,2008,West End,Robbie Roth,Roth and Robert Cary,Tom Hedley and Cary,Based on the film Flashdance
Flora the Red Menace,1965,Broadway,John Kander,Fred Ebb,George Abbott and Robert W. Russell,Noted for Broadway debut of Liza Minnelli.
Florodora,1899,West End,Leslie Stuart and Paul Rubens,Rubens and Edward Boyd-Jones,Owen Hall,
"Flower Drum Song 

+ film (1961)",1958,Broadway,Richard Rodgers,Oscar Hammerstein II,Hammerstein II and Joseph Fields,"Notable songs: ""I Enjoy Being a Girl"" and ""Love, Look Away""."
Floyd Collins,1996,Off-Broadway,Adam Guettel,Guettel and Tina Landau,Landau,
Fly by Night (musical),2014,Off-Broadway,"Will Connolly, Michael Mitnick, and Kim Rosenstock","Will Connolly, Michael Mitnick, and Kim Rosenstock","Will Connolly, Michael Mitnick, and Kim Rosenstock",
Flying High,1930,Broadway,Ray Henderson,B. G. DeSylva and Lew Brown,"Brown, DeSylva, and John McGowan",
Flying Over Sunset,2021,Broadway,Tom Kitt,Michael Korie,James Lapine,
Follies,1971,Broadway,Stephen Sondheim,Sondheim,James Goldman,"Notable songs: ""Broadway Baby"", ""I'm Still Here"" and ""Losing My Mind""."
Follow That Girl,1960,West End,Julian Slade and Dorothy Reynolds,Slade and Reynolds,Slade and Reynolds,
Follow the Boys,1963,Film,Various,Various,Lou Breslow and Gertrude Purcell,
Follow the Girls,1944,Broadway,"Phil Charig, Dan Shapiro and Milton Pascal","Charig, Shapiro and Pascal",Guy Bolton and Fred Thompson,
Follow Thru,1929,Broadway,Ray Henderson,B. G. DeSylva and Lew Brown,DeSylva and Lawrence Schwab,
"Footloose 

+ film (1984) 
 + film (2011)",1998,Broadway,Tom Snow,Dean Pitchford,Pitchford and Walter Bobbie,Based on the 1984 film version.
Forbidden Broadway,1982,Off-Broadway revue,Various,Gerard Alessandrini,Alessandrini,
Forbidden Zone,1980,Film,Danny Elfman,Elfman,Richard Elfman,
Forever Plaid,1990,Off-Broadway,Various,Various,Stuart Ross
The Fortress of Solitude,2014,Off-Broadway,Michael Friedman,Friedman,Itamar Moses,Based on Jonathan Lethem's novel of the same name.
Fosse,1999,Broadway revue,Various,Various,—N/a,
Found,2014,Off-Broadway,Eli Bolin,Bolin,Hunter Bell and Lee Overtree,
The Four Musketeers,1967,West End,Laurie Johnson,Herbert Kretzmera,Michael Pertwee,
Foxy,1964,Broadway,Robert Emmett Dolan,Johnny Mercer,"Ian McLellan Hunter and Ring Lardner, Jr.",Based on Ben Jonson's play Volpone.
Frankenstein,2007,Off-Broadway,Mark Baron,Jefferey Jackson,Jackson and Gary P Cohen,
"Freaky Friday 

+ film (2018)",2016,Regional,Tom Kitt,Brian Yorkey,Bridget Carpenter,"Based on the 1972 book of the same name, the musical is an adaptation of the 1976, 1995, and 2003 films."
Free as Air,1957,West End,Julian Slade,Dorothy Reynolds and Slade,Reynolds and Slade,
Freestyle Love Supreme,2019,Off-Broadway,Various,Various,Various,"An 80-minute improvisational hip-hop musical based on audience suggestions. Concept created by Lin-Manuel Miranda, Thomas Kail, and Anthony Veneziale."
Friends! The Musical Parody,2017,Off-Broadway,Assaf Gleizner,Gleizner,Bob and Tobly McSmith,A musical parody of the television show Friends.
The Frogs,2004,Broadway,Stephen Sondheim,Sondheim,Burt Shevelove and Nathan Lane,Originally performed in Yale University's gymnasium's swimming pool in 1974.
From Here to Eternity,2013,West End,Stuart Brayson,Tim Rice,Bill Oakes,
From Justin to Kelly,2003,Film,Greg Siff,Michael Wandmacher,Kim Fuller,
"Frozen 

+ film (2013)",2017,Broadway,Robert Lopez and Kristen Anderson-Lopez,Lopez and Anderson-Lopez,Jennifer Lee,Based on the 2013 film of the same name.
Frozen Fever,2015,Short film,Christophe Beck,Beck,"Chris Buck, Jennifer Lee, and Marc E. Smith",
Full House! The Musical!,2015,Off-Broadway,Bob and Tobly McSmith,Bob and Tobly McSmith,Bob and Tobly McSmith,A musical parody of the television show Full House.
The Full Monty,2000,Broadway,David Yazbek,Yazbek,Terrence McNally,Based on the 1997 film version.
Fun Home,2015,Broadway,Jeanine Tesori,Lisa Kron,Lisa Kron,Based on the 2006 graphic memoir Fun Home by Alison Bechdel.
"Funny Face 

+ film (1957)",1927,Broadway,George Gershwin,Ira Gershwin,Paul Gerard Smith and Fred Thompson,
"Funny Girl 

+ film (1968)",1964,Broadway,Jule Styne,Bob Merrill,Isobel Lennart,"Notable songs: ""People"" and ""Don't Rain on My Parade""."
Funny Lady,1975,Film,John Kander,Fred Ebb,Jay Presson Allen and Arnold Schulman,
A Funny Thing Happened on the Way to the Forum,1962,Broadway,Stephen Sondheim,Sondheim,Burt Shevelove and Larry Gelbart,"Notable song: ""Comedy Tonight""."
