Production,Year,Venue/type,Music,Lyrics,Book,Notes,Reference
Darling Lili,1970,Film,Henry Mancini,Johnny Mercer,William Peter Blatty and Blake Edwards,,
Darling of the Day,1968,Broadway,Jule Styne,Yip Harburg,Nunnally Johnson,Based on the novel Buried Alive by Arnold Bennett.,
A Date with Judy,1948,Film,Ernesto Lecuona,,Dorothy Kingsley,Based on the radio series of the same name.,
A Day at the Races,1937,Film,Bronisław Kaper and Walter Jurmann,Gus Kahn,"Robert Pirosh, George Seaton, and George Oppenheimer",,
The Day Before Spring,1945,Broadway,Frederick Loewe,Alan Jay Lerner,Alan Jay Lerner,,
A Day in Hollywood / A Night in the Ukraine,1979,West End,Frank Lazarus and others,Dick Vosburgh,Dick Vosburgh,Second act based on the one-act play The Bear by Anton Chekhov.,
Days of Wine and Roses,2023,Broadway,Adam Guettel,Guettel,Craig Lucas,Based on the 1962 film of the same name and the 1958 teleplay of the same name.
De-Lovely,2004,Film,Cole Porter,Cole Porter,Jay Cocks,,
Dead Outlaw,2024,Broadway,David Yazbeck and Erik Della Penna,Yazbeck and Della Penna,Itamar Moses,Based on the life of Elmer McCurdy.,
Dear Edwina,2008,Off-Broadway,Zina Goldrich,Marcy Heisler,Marcy Heisler,,
Dear Evan Hansen,2016,Broadway,Pasek and Paul,Pasek and Paul,Steven Levenson,Winner of 2017 Tony Award for Best Musical,
Dear World,1969,Broadway,Jerry Herman,Jerry Herman,Jerome Lawrence and Robert E. Lee,Based on the play The Madwoman of Chaillot by Jean Giraudoux.,
Dearest Enemy,1925,Broadway,Richard Rodgers,Lorenz Hart,Herbert Fields,,
Death Becomes Her,2024,Broadway,"Julia Mattison, Noel Carey","Julia Mattison, Noel Carey",Marco Pennette,Based on the 1992 film of the same name by Robert Zemeckis,
Death Note,2015,"Seoul, South Korea",Frank Wildhorn,Lorenz Hart,Ivan Menchell,Based on Death Note by Tsugumi Ohba and Takeshi Obata,
Death of a Salesman,1949,Broadway,Alex North,Alex North,Arthur Miller,,
Death Takes a Holiday,2011,Off-Broadway,Maury Yeston,Yeston,Peter Stone and Thomas Meehan,Based on La Morte in Vacanza by Alberto Casella,
"The Deb
+ film (2024)",2022,Australian,Megan Washington,Megan Washington and Hannah Reilly,Hannah Reilly,,
Debbie Does Dallas,2002,Off-Broadway,"Andrew Sherman, Tom Kitt, Jonathan Callicutt","Andrew Sherman, Tom Kitt, Jonathan Callicutt",Susan L. Schwartz,,
Deep in My Heart,1954,Film,Sigmund Romberg,"Oscar Hammerstein II, Otto Harbach, Dorothy Donnelly, Roger Edens, Cyrus D. Wood, Ballard MacDonald, Rida Johnson Young, Harold Atteridge, Herbert Reynolds","Leonard Spigelgass, Elliott Arnold",,
Delicious,1931,Film,George Gershwin,Ira Gershwin,"Guy Boltons, Sonya Levien",,
Delightfully Dangerous,1945,Film,Morton Gould,Edward Heyman,"Walter DeLeon, Arthur Phillips",,
Les Demoiselles de Rochefort,1967,Film,Michel Legrand,Jacques Demy,Jacques Demy,,
Descendants,2015,Film,David Lawrence,David Lawrence,Josann McGibbon and Sara Parriott,Disney Channel Original Movie,
Descendants 2,2017,Film,David Lawrence,David Lawrence,Josann McGibbon and Sara Parriott,Disney Channel Original Movie,
Descendants 3,2019,Film,David Lawrence,David Lawrence,Josann McGibbon and Sara Parriott,Disney Channel Original Movie,
"The Desert Song

+ film (1929)",1926,Broadway,Sigmund Romberg,Otto Harbach,"Oscar Hammerstein II, Otto Harbach, and Frank Mandel",,
Dessa Rose,2005,Off-Broadway,Stephen Flaherty,Lynn Ahrens,Lynn Ahrens,Based on the novel of the same name by Sherley Anne Williams.,
Destry Rides Again,1939,Film,Friedrich Hollaender,Frank Loesser,Felix Jackson,Based on the novel of the same name by Max Brand.,
Destry Rides Again,1959,Broadway,Harold Rome,Harold Rome,Leonard Gershe,Based on the novel of the same name by George Marshall.,
Devil-May-Care,1929,Film,Herbert Stothart,Clifford Grey,Richard Schayer,,
The Devil Wears Prada,2022,Chicago,Elton John,Shaina Taub,Kate Wetherhead,Based on the novel and film of the same name,
Diamonds,1984,Off-Broadway,"Gerard Alessandrini, Craig Carnelia, Cy Coleman, Larry Grossman, John Kander, Doug Katsaros, Alan Menken, Jonathan Sheffer, Lynn Udall, Albert Von Tilzer, Jim Wann","Gerard Alessandrini, Howard Ashman, Craig Carnelia, Betty Comden, Fred Ebb, Ellen Fitzhugh, Adolph Green, Karl Kennett, Jack Norworth, Jim Wann, David Zippel","Bud Abbott, Ralph G. Allen, Roy Blount, Jr., Richard Camp, Jerry L. Crawford, Lou Costello, Lee Eisenberg, Jim Wann, John Lahr, Arthur Masella, Harry Stein, John Weidman, Alan Zweibel",,
Diana,2019,Broadway,David Bryan,David Bryan and Joe DiPietro,Joe DiPietro,"Based on the life of Diana, Princess of Wales",
Dick Tracy,1990,Film,"Madonna, Patrick Leonard, Stephen Sondheim, Michael Kernan, Andy Paley, Jeff Lass, Ned Claflin, Jonathan Paley, Shep Pettibone, Danny Elfman","Madonna, Stephen Sondheim, Andy Paley","Jim Cash, Jack Epps, Jr.",Based on the comic strip of the same name by Chester Gould.,
Different Times,1972,Broadway,Michael Brown,Michael Brown,Michael Brown,,
Dimples,1936,Film,Jimmy McHugh,Ted Koehler,Nat Perrinn and Arthur Sheekman,,
Diner,2014,Regional,Sheryl Crow,Crow,Barry Levinson,Based on the 1982 film of the same name.,
Dirty Rotten Scoundrels,2004,Broadway,David Yazbek,David Yazbek,Jeffrey Lane,Based on the film of the same name by Frank Oz.,
Disaster!,2016,Broadway,Various Artists,Various Artists,Jack Plotnick and Seth Rudetsky,,
Disco Inferno,2004,West End,various,various,,,
The District Leader,1906,Broadway,Joseph E. Howard,Joseph E. Howard,Joseph E. Howard,,
"Divorce Me, Darling!",1965,West End,Sandy Wilson,Sandy Wilson,Sandy Wilson,Sequel to the musical The Boy Friend by Sandy Wilson.,
Les Dix Commandements,2000,French,Pascal Obispo,Lionel Florence and Patrice Guirao,Élie Chouraqui and Pascal Obispo,,
Dixiana,1930,Film,Max Steiner,,Luther Reed,,
Dixie,1943,Film,Jimmy Van Heusen,Johnny Burke,"Karl Tunberg, Darrell Ware, Claude Binyon",,
Do Black Patent Leather Shoes Really Reflect Up?,1979,Broadway,James Quinn and Alaric Jans,James Quinn and Alaric Jans,John R. Powers,,
Do I Hear a Waltz?,1965,Broadway,Richard Rodgers,Stephen Sondheim,Arthur Laurents,Based on the play The Time of the Cuckoo by Arthur Laurents.,
Do Re Mi,1960,Broadway,Jule Styne,Betty Comden and Adolph Green,Garson Kanin,,
"Doctor Dolittle 

+ film (1967)",1998,Touring,Leslie Bricusse,Bricusse,Bricusse,"Based on the 1967 film and the children's books by Hugh Lofting. Notable song: ""Talk to the Animals"".",
Doctor Zhivago,2011,Sydney,Lucy Simon,Michael Korie and Amy Powers,Michael Weller,Based on the novel of the same name by Boris Pasternak.,
Dog Man,2019,Off-Broadway,Brad Alexander,Kevin Del Aguila,Kevin Del Aguila,Based on the Dog Man series by Dav Pilkey.,
Dogfight,2012,Off-Broadway,Pasek and Paul,Pasek and Paul,Peter Duchan,Based on the film of the same name by Nancy Savoca.,
Doll,2003,Workshop production,Scott Frankel,Michael Korie,Michael Korie,,
Doll Face,1945,Film,"Jimmy McHugh, Lionel Newman (The Parisian Trot)","Harold Adamson, Charles E. Henderson (The Parisian Trot)",Harold Buchman,Based on the play The Naked Genius by Gypsy Rose Lee.,
Die Dollarprinzessin,1907,Operetta,Leo Fall,Alfred Maria Willner and Fritz Grünbaum,Alfred Maria Willner and Fritz Grünbaum,,
A Doll's Life,1982,Broadway,Larry Grossman,Betty Comden and Adolph Green,Betty Comden and Adolph Green,Based on the play A Doll's House by Henrik Ibsen.,
The Dolly Sisters,1945,Film,,,John Larkin and Marian Spitzer,,
Donnybrook!,1961,Broadway,Johnny Burke,Johnny Burke,Robert E. McEnroe,Based on the film The Quiet Man by John Ford.,
"Don't Bother Me, I Can't Cope",1971,Broadway,Micki Grant,Micki Grant,,,
Don't Play Us Cheap,1972,Broadway,Melvin Van Peebles,Melvin Van Peebles,Melvin Van Peebles,,
Doonesbury,1983,Broadway,Elizabeth Swados,Garry Trudeau,Garry Trudeau,Based on the comic strip of the same name by Garry Trudeau.,
Double or Nothing,1937,Film,"Burton Lane, Arthur Johnston, Johnny Burke, John Leipold, Victor Young, Al Siegel, Sam Coslow, Sanford Green","Burton Lane, Ralph Freed, Johnny Burke, Irving Kahal","Duke Atteberry, Erwin Gelsey, John Moffitt, Charles Lederer",,
Double Trouble,1967,Film,Various Artists,Various Artists,Jo Heims,Stars Elvis Presley,
Down Argentine Way,1940,Film,Harry Warren and Jimmy McHugh,Mack Gordon and Al Dubin,"Rian James, Ralph Spence, Karl Tunberg, Karl Tunberg, Darrell Ware",,
Down to Earth,1947,Film,George Duning and Heinz Eric Roemheld,,"Harry Segall, Edwin Blum",Sequel to the film Here Comes Mr. Jordan by Alexander Hall.,
Dr. Horrible's Sing-Along Blog,2008,Web miniseries,"Joss Whedon, Maurissa Tancharoen, Jed Whedon","Joss Whedon, Maurissa Tancharoen, Jed Whedon","Joss Whedon, Zack Whedon, Maurissa Tancharoen, Jed Whedon",,
Dr. Seuss' How the Grinch Stole Christmas!,1994,Broadway,Mel Marvin and Albert Hague,Timothy Mason and Dr. Seuss,Timothy Mason,Based on the children's story of the same name by Dr. Seuss.,
Dracula,2001,Broadway,Frank Wildhorn,Don Black and Christopher Hampton,Black and Hampton,Based on the novel of the same name by Bram Stoker.,
Dracula – Entre l'amour et la mort,2006,Quebec,Simon Leclerc,Roger Tabra,Bruno Pelletier and Richard Ouzounian,,
Drat! The Cat!,1965,Broadway,Milton Schafer,Ira Levin,Levin,"Notable song: ""She Touched Me"".",
Dream House,1932,Film,,,,,
Dream True,2004,,Ricky Ian Gordon,Ricky Ian Gordon,Ricky Ian Gordon,,
Dreamboats and Petticoats,2009,West End,Various,Various,Laurence Marks and Maurice Gran,Based on the compilation album of the same name.,
"Dreamgirls 

+ film (2006)",1981,Broadway,Henry Krieger,Tom Eyen,Tom Eyen,"Semi-based on The Supremes. Notable song: ""And I Am Telling You I'm Not Going"".",
Dreams Come True,1936,Film,"Franz Lehár, Colin Wark, Ben Frankel",Bruce Sevier,Donald Bull,,
Die Drei von der Tankstelle,1930,Film,Werner R. Heymann,,Franz Schulz and Paul Frank,,
The Drifters Girl,2021,West End,Various,Various,Ed Curtis and Tina Treadwell (idea),,
The Drowsy Chaperone,2006,Broadway,Lisa Lambert and Greg Morrison,Lisa Lambert and Greg Morrison,Bob Martin and Don McKellar,,
DuBarry Was a Lady,1939,Broadway,Cole Porter,Cole Porter,Herbert Fields and Buddy DeSylva,"Notable song: ""Friendship.""",
The Duchess of Dantzic,1903,London comic opera,Ivan Caryll,Henry Hamilton,Henry Hamilton,Based on the play Madame Sans-Gêne by Victorien Sardou and Émile Moreau.,
Duchess of Idaho,1950,Film,"Al Rinker, Floyd Huddleston, Henry Nemo, Lee Pearl","Al Rinker, Floyd Huddleston, Henry Nemo, Lee Pearl","Dorothy Cooper, Jerry Davis, Sid Fields",,
Duck Soup,1933,Film,Harry Ruby,Bert Kalmar,"Harry Ruby, Bert Kalmar, Arthur Sheekman, Nat Perrin",,
Dude,1972,Broadway,Galt MacDermot,Gerome Ragni,Gerome Ragni,,
Duffy's Tavern,1945,Film,Robert E. Dolan,,Melvin Frank and Norman Panama,Based on the radio series of the same name created by Ed Gardner.,
Dumbo,1941,Film,Frank Churchill and Oliver Wallace,Frank Churchill and Oliver Wallace,"Otto Englander, Joe Grant, Dick Huemer","Based on the children story the same name. Notable song: ""Baby Mine"".",
Dusty – The Original Pop Diva,2005,Australian Jukebox,various,various,"John-Michael Howson, David Mitchell, Melvyn Morrow",Based on songs by Dusty Springfield.,
