Production,Year,Venue/type,Music,Lyrics,Book,Notes
"The Rocky Horror Show 

+ film (1975)",1973,West End,Richard O'Brien,O'Brien,O'Brien,"Notable songs: ""The Time Warp"" and ""Sweet Transvestite""."
Le Roi Soleil,2005,French,Various artists,Lionel Florence and Patrice Guirao,Kamel Ouali,
Roman Holiday,2001,Regional,Cole Porter,Porter,"Paul Blake, Kathy Speer, and Terry Grossman",Based on the 1953 film of the same name.
Romance in Hard Times,1989,Off-Broadway,William Finn,Finn,Finn,
Romance/Romance,1988,Broadway,Keith Herrmann,Barry Harman,Harman,
"Roméo et Juliette, de la Haine à l'Amour",2001,French,Gérard Presgurvic,Presgurvic,Presgurvic,"Notable songs: ""Les Rois du monde"", ""Aimer"" and ""On Dit Dans La Rue""."
"Rosalie 

+ film (1937)",1928,Broadway,George Gershwin and Sigmund Romberg,Ira Gershwin and P.G. Wodehouse,William Anthony McGuire and Guy Bolton,Cole Porter composed an almost entirely new score for the film adaptation.
Rose-Marie,1924,Broadway,Rudolf Friml and Herbert Stothart,Otto Harbach and Oscar Hammerstein II,Harbach and Hammerstein,
The Rothschilds,1970,Broadway,Jerry Bock,Sheldon Harnick,Sherman Yellen,
Rover Dangerfield,1991,Film,David Newman,Newman,Rodney Dangerfield,
Royal Wedding,1951,Film,Burton Lane,Alan Jay Lerner,Lerner,
Rudolf,2009,Austrian,Frank Wildhorn,Jack Murphy and Nan Knighton,Murphy and Phoebe Hwang,
Rudolph the Red-Nosed Reindeer,1964,TV special,Johnny Marks,Johnny Marks,Marks,"Notable songs: ""There's Always Tomorrow"", ""Silver and Gold"" and ""A Holly Jolly Christmas"""
A Runaway Girl,1898,West End,Ivan Caryll and Lionel Monckton,Aubrey Hopwood and Harry Greenbank,Seymour Hicks and Harry Nicholls,
Runaways,1978,Broadway,Elizabeth Swados,Swados,Swados,
