Production,Year,Venue/type,Music,Lyrics,Book,Notes,Reference
Aida,2000,Broadway,Elton John,Tim Rice,"Linda Woolverton, Robert Falls and David Henry Hwang","Based on the 1871 opera by Giuseppe Verdi. Tony Awards for Best Original Score (John and Rice), Best Actress in a Musical for Heather Headley. Notable song: Written in the Stars.",
"Ain't Misbehavin'
+ Television (1982)",1978,Broadway,Fats Waller and various artists,Waller and various artists,"Murray Horwitz and Richard Maltby, Jr.","Revue comprising songs written and/or popularized by Waller. Tony Awards for Best Musical, Best Featured Actress (Nell Carter), and Best Director (Richard Maltby, Jr.)",
Ain't Supposed to Die a Natural Death,1971,Broadway,Melvin Van Peebles,Van Peebles,Van Peebles,,
Ain't Too Proud,2017,Broadway,The Temptations and various artists,The Temptations and various artists,Dominique Morisseau,Jukebox biomusical based on the lives and featuring the songs of the Temptations.,
Aladdin,1958,Television,Cole Porter,Porter,,"Based on the folktale ""Aladdin"" from the One Thousand and One Nights and presented on DuPont Show of the Month on CBS. Directed by Ralph Nelson; written by S. J. Perelman. Porter's last score.",
Aladdin,1979,West End,Sandy Wilson,Wilson,Wilson,"Based on the folktale ""Aladdin"" from the One Thousand and One Nights.",
"Aladdin
+ Broadway (2011) and film (2019)",1992,Animated film,Alan Menken,Howard Ashman and Tim Rice,,"Based on the folktale ""Aladdin"" from the One Thousand and One Nights. Notable Songs: ""A Whole New World"" and ""Friend Like Me"".",
Alexander's Ragtime Band,1938,Film,Irving Berlin,Berlin,,"Jukebox musical featuring 23 Berlin songs including two written for the film (""Now it Can be Told"" and ""My Walking Stick""). Directed by Henry King; written by Kathryn Scola and Lamar Trotti.",
Ali Baba Goes to Town,1937,Film,Various artists,Various artists,,Directed by David Butler; written by Harry Tugend and Jack Yellen.,
Alice at the Palace,1982,Television,Elizabeth Swados,Swados,Swados and Lewis Carroll,Filmed version for PBS of Alice in Concert with revisions and new cast. External link: Alice at the Palace on BroadwayHD.,
Alice by Heart,2019,Off-Broadway,Steven Sater,Duncan Sheik,Sheik and Jessie Nelson,Based on Lewis Carroll's 1865 book Alice's Adventures in Wonderland.,
Alice in Concert,1980,Off-Broadway,Elizabeth Swados,Swados,Swados and Lewis Carroll,Based on Carroll's books Alice's Adventures in Wonderland (1865) and Through the Looking-Glass (1871). Meryl Streep starred.,
Alice in Wonderland,1886,West End,Walter Slaughter,"Lewis Carroll, Henry Savile Clarke and Aubrey Hopwood",Clarke,Based on Carroll's books Alice's Adventures in Wonderland (1865) and Through the Looking-Glass (1871).,
Alice in Wonderland,1951,Animated film,"Oliver Wallace, Sammy Fain, Bob Hilliard, and various artists","Lewis Carroll, Fain, Hilliard, and various artists",,Based on Carroll's books Alice's Adventures in Wonderland(1865) and Through the Looking-Glass (1871).,
Alice in Wonderland,1976,Adult film,Jack Stern,Stern,,Based on Lewis Carroll's 1865 book Alice's Adventures in Wonderland. Directed by Bud Townsend; written by Bill Osco and Bucky Searles. Originally released as a softcore film but later re-edited to include explicit sexual scenes. Adapted into an adult Off-broadway musical with an entirely new score in 2004.,
Alice in Wonderland,1985,Television,Steve Allen,Lewis Carroll and Allen,,"Based on Carroll's books Alice's Adventures in Wonderland (1865) and Through the Looking-Glass (1871). Directed by Harry Harris, written by Paul Zindel.",
Alice in Wonderland (or What's a Nice Kid Like You Doing in a Place Like This?),1966,Animated television film,Charles Strouse,Lee Adams,,"Based on Lewis Carroll's 1865 book Alice's Adventures in Wonderland. Directed by Alex Lovy, written by Bill Dana.",
Alice Through the Looking Glass,1966,Animated television film,Mark Charlap,Elsie Simmons,,"Based on Lewis Carroll's 1871 book Through the Looking-Glass. Directed by Alan Handley, written by Albert Simmons.",
Alice with Kisses,1964,Off-Broadway,"Sammy Fields, Joseph L. Blankenship, and Nevett Bartow.",Blankenship,Blankenship,Closed in previews. Memorialized in the 1967 film The Producers as one of the flop window cards tacked on Max Bialystock's wall.,
Alice's Adventures in Wonderland,1972,Film,John Barry,Lewis Carroll and Don Black,,Based on Carroll's books Alice's Adventures in Wonderland (1865) and Through the Looking-Glass (1871). Directed and written by William Sterling.,
Alive and Kicking,1950,Broadway,Hoagy Carmichael and various artists,Paul Francis Webster and various artist,I. A. L. Diamond,Revue.,
All 4 One,2001,Off-West End,John Trent Wallace,Kevin John Heuston,Heuston,,
All Aboard,1913,Broadway,E. Ray Goetz and Malvin M. Franklin,Goetz,Mark Swan,,
All American,1962,Broadway,Charles Strouse,Lee Adams,Mel Brooks,,
All Dogs Go to Heaven,1989,Animated film,Ralph Burns,"Charles Strouse, Al Kasha, Joel Hirschhorn, and T.J. Kuenster",,Directed by Don Bluth; written by David N. Weiss.,
All Dogs Go to Heaven 2,1996,Animated film,Barry Mann,Cynthia Weil,,Sequel to the 1989 film All Dogs Go to Heaven. Directed by Larry Leker and Paul Sabella; written by Kelly Ward & Mark Young and Arne Olsen.,
All Hands on Deck,1961,Film,Cyril Mockridge,Donald R. Morris,Jay Sommers,,
All in Fun,1940,Broadway,Baldwin Bergerson and John Rox,,,Revue.,
All in Love,1961,Off-Broadway,Jacques Urbont,Bruce Geller,Geller,,
All Out of Love,2018,Manila,Air Supply,Air Supply,Jim Millan,,
All Shook Up,2005,Broadway,Elvis Presley,Various artists,Joe DiPietro,jukebox featuring songs written and/or sung by Elvis Presley.,
All That Jazz,1979,Film,Ralph Burns,Various artists,Robert Alan Aurthur and Bob Fosse,,
All the Fun of the Fair,2008,West End,David Essex,Essex,Jon Conway,jukebox featuring the songs of David Essex.,
All the King's Horses,1935,Film,Edward Horan,Horan,"Edmund H. North, Frank Tuttle and Frederick Stephani","All the King's Horses by Lawrence Clark, Max Giersberg, Frederik Herendeen and Edward Horan",
Allegiance,2012,Broadway,Jay Kuo,Jay Kuo,"Marc Acito, Jay Kuo, Lorenzo Thione","Regional Premiere 2012, Broadway 2015",
Allegro,1947,Broadway,Richard Rodgers,Oscar Hammerstein II,Hammerstein,,
An Alligator Named Daisy,1955,Film,"Stanley Black and Sam Coslow, and various artists",,Jack Davies,,
"Alma, Where Do You Live?",1910,Broadway,Jean Briquet,George V. Hobart,Hobart,,
Almost Famous,2019,Broadway,Tom Kitt,Cameron Crowe,Crowe,Based on the 2000 film of the same name.,
Alone at Last,1914,Broadway,Franz Lehár and various artists,Matthew Woodward and various artists,,,
Along Fifth Avenue,1949,Broadway,Gordon Jenkins and various artists,Tom Adair and various artists,,Revue.,
Altar Boyz,2005,Off-Broadway,Gary Adler and Michael Patrick Walker,Adler and Walker,Kevin Del Aguila,,
Amazing Grace,2012,Broadway,Christopher Smith,Christopher Smith,"Christopher Smith, Arthur Giron",Regional Premiere 2012. Broadway 2015,
Ambassador,1972,Broadway,Don Gohman,Hal Hackady,Don Ettlinger and Anna Marie Barlow,,
Amélie,2017,Broadway,Daniel Messé,Daniel Messé and Nathan Tyson,Craig Lucas,Based on the 2001 romantic comedy film of the same name.,
Amen Corner,1983,Broadway,Garry Sherman,Peter Udell,Philip Rose and Peter Udell,,
America Is Hard to See,2018,Off-Broadway,Priscilla Holbrook,Holbrook,Travis Russ,Documentary play with music.,
America Kicks Up Its Heels,1983,Off-Broadway,William Finn,Finn,Charles Rubin,,
The American Astronaut,2001,Film,Cory McAbee and Billy Nayer Show,McAbee and Billy Nayer Show,,Directed and written by McAbee.,
American Idiot,2010,Broadway,Green Day,Billie Joe Armstrong,Armstrong and Michael Mayer,,
An American in Paris,1951,Film,George Gershwin,Ira Gershwin,Alan Jay Lerner,,
An American in Paris,2015,Broadway,George Gershwin,Ira Gershwin,Craig Lucas,Based on the 1951 musical film of the same name.,
The American Mall,2008,Television,Various artists,,,MTV film with original songs. Directed by Shawn Ku; written by Margaret Oberman.
American Pop,1981,Animated film,Various artists (songs); Lee Holdridge (score),Various artists,,Jukebox musical paralleling the history of American popular music. Directed by Ralph Bakshi; written by Ronni Kern.,
American Psycho,2016,Broadway,Duncan Sheik,Duncan Sheik,Roberto Aguirre-Sacasa,Based on the controversial 1991 novel by Bret Easton Ellis.,
An American Tail,1986,Animated film,"James Horner, Barry Mann, and various artists",Cynthia Weil and various artists,,"Directed by Don Bluth; written by Judy Freudberg & Tony Geiss. Notable song: ""Somewhere Out There"".",
An American Tail: Fievel Goes West,1991,Animated film,James Horner and various artists,Will Jennings and various artists,,Sequel to An American Tail (1986). Directed by Phil Nibbelink and Simon Wells; written by Flint Dille.,
Americana,1926,Broadway,Con Conrad and various artists,J. P. McEvoy and various artists,McEvoy,"Revue including songs by George and Ira Gershwin, Arthur Schwartz, and others.",
America's Sweetheart,1931,Broadway,Richard Rodgers,Lorenz Hart,Herbert Fields,,
The Amorous Flea,1964,Off-Broadway,Bruce Montgomery,Montgomery,Jerry Devine,,
Amour,2002,Broadway,Michel Legrand,Didier Van Cauwelaert,Jeremy Sams,,
Amphitryon,1935,Film,Franz Doelle,C. Amberg and Bruno Balz,Reinhold Schünzel,"Based on the stage play Amphytrion by Molière, Titus Maccius Plautus and Heinrich von Kleist.",
Anastasia,1997,Animated film,Stephen Flaherty,Lynn Ahrens,,"Based on the legend of Grand Duchess Anastasia Nikolaevna of Russia, which claims that she escaped the execution of her family. Directed by Don Bluth and Gary Goldman; written by Susan Gauthier, Bruce Graham, Bob Tzudiker, and Noni White.",
Anastasia,2017,Broadway,Stephen Flaherty,Lynn Ahrens,Terrence McNally,"Based on the 1956 film and 1997 animated musical films of the same name, with a new book and 16 new songs in addition to six songs from the animated movie.",
Anchors Aweigh,1945,Film,Georgie Stoll,Various artists,Natalie Marcin,,
& Juliet,2019,West End,Max Martin and others,Max Martin and others,David West Read,,
And the Angels Sing,1944,Film,Jimmy Van Heusen,Johnny Burke (lyricist),,"Directed by George Marshall; written by Melvin Frank and Norman Panama. Notable song: ""It Could Happen to You"".",
And the World Goes 'Round,1991,Off-Broadway,John Kander,Fred Ebb,—N/a,Revue comprising the songs of Kander and Ebb.,
André Charlot's Revue of 1924,1924,Broadway Revue,Various artists,Various artists,—N/a,Revue.,
Andy Hardy's Private Secretary,1941,Film,,,,,
Angel,1978,Broadway,Gary Geld,Peter Udell,Udell and Ketti Frings,,
Angel in the Wings,1947,,Bob Hilliard and Carl Sigman,Hilliard and Sigman,"Hank Ladd, Ted Luce, Paul Hartman, and Grace Hartman.","Revue. Notable song: ""Civilization""",
"Angélique, Marquise des Anges",1995,Paris,"Michel Magne, Nadia Golon, and Eddie Barclay","Magne, Golon, and Barclay",Alain Decaux,Based on the Angelique novels by Anne and Serge Golon.,
Ani: A Parody,2014,Off-Broadway,Clark Baxtresser and Pierce Siebers,Matt and Nick Lang,M. and N. Lang,,
"Animal Crackers
+ film (1930)",1928,Broadway,Bert Kalmar and Harry Ruby,Kalmar and Ruby,George S. Kaufman and Morrie Ryskind,,
Ankles Aweigh,1955,Broadway,Sammy Fain,Dan Shapiro,Guy Bolton and Eddie Davis,,
Anna and the Apocalypse,2017,Film,Roddy Hart and Tommy Reilly,Hart and Reilly,,Directed by John McPhail; written by Alan McDonald and Ryan McHenry.,
Anna Karenina,1992,Broadway,Daniel Levine,Peter Kellogg,Kellogg,Based on Leo Tolstoy’s novel of the same name,
Anne & Gilbert,2005,"Victoria, Prince Edward Island","Jeff Hochhauser, Nancy White and Bob Johnston","Hochhauser, White and Johnston","Hochhauser, White and Johnston",Based on Lucy Maud Montgomery's novels Anne of Avonlea and Anne of the Island.,
Anne of Green Gables,1965,"Charlottetown, Prince Edward Island",Norman Campbell,"Don Harron, Campbell, Elaine Campbell and Mavor Moore",Harron,Based on Lucy Maud Montgomery's novel of the same name.,
"Annie 

+ film (1982) 
 + film (1999) 
 + film (2014)",1977,Broadway,Charles Strouse,Martin Charnin,Thomas Meehan,"Notable songs: ""Tomorrow"" and ""It's the Hard Knock Life""",
"Annie Get Your Gun 

+ film (1950)",1946,Broadway,Irving Berlin,Berlin,Herbert Fields and Dorothy Fields,"Notable song: ""There's No Business Like Show Business"".",
Annie Warbucks,1993,Off-Broadway,Charles Strouse,Martin Charnin,Thomas Meehan,Sequel to Annie.,
Another Cinderella Story,2008,Film,Various artists,Various artists,,Directed by Damon Santostefano; written by Erik Patterson and Jessica Scott.,
Anya,1965,Broadway,Robert Wright and George Forrest,Wright and Forrest,George Abbott and Guy Bolton,,
Anyone Can Whistle,1964,Broadway,Stephen Sondheim,Sondheim,Arthur Laurents,,
Anything Goes,1934,Broadway,Cole Porter,Porter,Guy Bolton and P. G. Wodehouse,"Notable songs: ""Anything Goes"", ""You're the Top"" and ""I Get a Kick out of You"".",
Applause,1970,Broadway,Charles Strouse,Lee Adams,Betty Comden and Adolph Green,,
The Apple,1980,Film,Kobi Recht [de],George Clinton and Iris Recht,,Directed by Menahem Golan; written by Golan and Recht.,
The Apple Tree,1966,Broadway,Jerry Bock,Sheldon Harnick,"Bock, Harnick and Jerome Coopersmith",,
April in Paris,1952,Film,Vernon Duke and LeRoy Prinz,Various artists,Jack Rose,,
April Love,1957,Film,Sammy Fain (songs); Alfred Newman (score),Paul Francis Webster,,Based on the 1941 novel Phantom Filly by George Agnew Chamberlain. Directed by Henry Levin; written by Winston Miller.,
An Arabian Girl and 40 Thieves,1899,Broadway,"W. H. Batchelor, John J. Braham, Jessie Williams and Meyer Lutz",J. Cheever Goodwin,,,
Arabian Nights,1954,Off-Broadway,Carmen Lombardo and John Jacob Lœb,Lombardo and Lœb,,,
The Arcadians,1909,West End,Lionel Monckton and Howard Talbot,Arthur Wimperis,Mark Ambient and Alexander M. Thompson,,
Are You With It?,1945,Broadway,Harry Revel,Arnold B. Horwitt,Sam Perrin and George Balzer,Based on the novel Slightly Perfect by George Malcolm-Smith.,
Are You with It?,1948,Film,Inez James and Sidney Miller,James and Miller,,"Based on the Broadway musical of the same name, but with a revised plot and an entirely new score by James and Miller. Directed by Jack Hively; written by Oscar Brodney.",
Argentine Nights,1940,Film,Frank Skinner,Various artists,J. Robert Bren and Gladys Atwater,,
Ari,1971,Broadway,Walt Smith,Leon Uris,,Based on the novel Exodus by Leon Uris.,
The Aristocats,1970,Animated film,George Bruns,Various Artists,"Ken Anderson, Larry Clemmons, Eric Cleworth, Vance Garry, Julius Svendsen, Frank Thomas, and Ralph Wright",Based on characters created by Tom McGowan and Tom Rowe.,
The Ark,1998,Off-Broadway,Michael McLean,McLean and Kevin Kelly,McLean and Kelly,,
Arms and the Girl,1950,Broadway,Morton Gould,Dorothy Fields,Herbert Fields and Fields,,
Around the Clock,1906,road musical with stop on Broadway,Lee Orean Smith,J. Sebastian Hiller,Steve B. Cassin,,
Around the World,1946,Broadway,Cole Porter,Porter,Orson Welles,,
Arthur! Arthur!,1969,Film,Harry Robertson,Various artists,Julian Symons,,
Artists and Models,1937,Film,Various artists,Various artists,"Frank Tashlin, Herbert Baker, and Hal Kanter","Notable songwriters: Burton Lane, Harold Arlen, and Victor Young. Directed by Raoul Walsh; written by Eugene Thackrey and Keene Thompson.",
Artists and Models,1955,Film,Harry Warren and Jack Brooks,Various artists,,"Notable song: ""Innamorata"". Based on the 1942 play Rock-a-Bye Baby! by Michael Davidson and Norman Lessing. Directed by Frank Tashlin; written by Herbert Baker, and Hal Kanter.",
An Artist's Model,1895,West End,Sidney Jones,Harry Greenbank and various artists,Owen Hall,,
As Long as They're Happy,1954,Film,Stanley Black,Alan Melville,Melville,,
As the Girls Go,1948,Broadway,Jimmy McHugh,Harold Adamson,William Roos,,
As Thousands Cheer,1933,Broadway,Irving Berlin,Berlin,Moss Hart,"Revue loosely based on the sections of a newspaper of the time. One of the rare ""topical"" revues to be frequently revived, due to the many songs that became American standards. Notable songs: ""Easter Parade"", ""Heat Wave"", Supper Time.",
Aspects of Love,1990,West End,Andrew Lloyd Webber,Don Black and Charles Hart,Lloyd Webber,"Notable song: ""Love Changes Everything"".",
Assassins,1990,Off-Broadway,Stephen Sondheim,Sondheim,John Weidman,Premiered on Broadway in 2004.,
At Home Abroad,1935,Broadway,Arthur Schwartz,Howard Dietz,Various artists (sketches),Revue.,
At Long Last Love,1975,Film,Cole Porter,Porter,,Jukebox musical featuring songs written by Porter. Directed and written by Peter Bogdanovich. A critical and commercial flop when it was released; a revised version became a cult film due to television airings and has risen in critical esteem since. Musical numbers were performed and filmed live.,
At the Circus,1939,Film,Harold Arlen,Arlen,Irving Brecher,,
At the Drop of a Hat,1956,Off-West End,Donald Swann,Michael Flanders,Swann and Flanders,Revue also produced on Broadway in 1959.,
At the Drop of Another Hat,1963,Off-West End revue,Donald Swann,Michael Flanders,Swann and Flanders,Revue also produced on Broadway in 1966.,
At War with the Army,1950,Film,Joseph J. Lilley,Lilley,James Allardice and Fred Finklehoffe,,
Athena,1954,Film,Hugh Martin and Ralph Blane,Martin and Blane,William Ludwig and Leonard Spigelgass,,
The Athenian Touch,1964,Off-Broadway,Willard Straight,David Eddy,J. Albert Fracht and Arthur Goodman,,
Atlantic City,1944,Film,Various artists,Various artists,,"Directed by Ray McCarey; written by Doris Gilbert, Frank Gill Jr. and George Carleton Brown.",
Aunt Sally,1933,Film,Harry M. Woods,Woods,Guy Bolton,,
Autant en emporte le vent,2003,Paris,Gérard Presgurvic,Presgurvic,,Based on the novel Gone with the Wind by Margaret Mitchell.,
Avenue Q,2003,Broadway,Robert Lopez and Jeff Marx,Lopez and Marx,Jeff Whitty,"Notable songs: ""It Sucks to Be Me"", ""Everyone's a Little Bit Racist"" and ""There's a Fine, Fine Line"".",
